Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Complex Method,Cyclomatic complexity of the method is 35,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Identifier,The length of the identifier l_messagebufferbenchmarks_putpeekpoll0_G is 40.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Identifier,The length of the identifier l_messagebufferbenchmarks_putpeekpoll0_G_backoff is 48.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Identifier,The length of the identifier l_messagebufferbenchmarks_putpeekpoll0_G is 40.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Identifier,The length of the identifier l_messagebufferbenchmarks_putpeekpoll0_G_backoff is 48.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Identifier,The length of the identifier l_messagebufferbenchmarks_putpeekpoll0_G is 40.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Identifier,The length of the identifier l_messagebufferbenchmarks_putpeekpoll0_G_backoff is 48.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Identifier,The length of the field f_messagebufferbenchmarks_putpeekpoll0_G is 40.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Method,The method has 207 lines of code.,62
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_rw_jmhTest,rw_Throughput,Long Statement,The length of the statement "this.blackhole=new Blackhole("Today's password is swordfish. I understand instantiating Blackholes directly is dangerous.");" is 124.,62
