Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_jmhType_B2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: setupTrialMutexUpdater; tearTrialMutexUpdater; setupIterationMutexUpdater; tearIterationMutexUpdater; setupInvocationMutexUpdater; tearInvocationMutexUpdater
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekPoll_ThreadState_jmhType_B2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: setupTrialMutexUpdater; tearTrialMutexUpdater; setupIterationMutexUpdater; tearIterationMutexUpdater; setupInvocationMutexUpdater; tearInvocationMutexUpdater
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekTake_jmhType_B2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: setupTrialMutexUpdater; tearTrialMutexUpdater; setupIterationMutexUpdater; tearIterationMutexUpdater; setupInvocationMutexUpdater; tearInvocationMutexUpdater
.,org.axonframework.extensions.kafka.eventhandling.benchmark.jmh_generated,MessageBufferBenchmarks_PutPeekTake_ThreadState_jmhType_B2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: setupTrialMutexUpdater; tearTrialMutexUpdater; setupIterationMutexUpdater; tearIterationMutexUpdater; setupInvocationMutexUpdater; tearInvocationMutexUpdater
.,org.axonframework.extensions.kafka.configuration,KafkaMessageSourceConfigurerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.axonframework.extensions.kafka.configuration.KafkaMessageSourceConfigurer
.,org.axonframework.extensions.kafka.eventhandling.benchmark,MessageBufferBenchmarks_PutPeekPoll,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.axonframework.extensions.kafka.eventhandling.consumer.streamable.SortedKafkaMessageBuffer
.,org.axonframework.extensions.kafka.eventhandling.benchmark,MessageBufferBenchmarks_PutPeekPoll.ThreadState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,org.axonframework.extensions.kafka.eventhandling.benchmark,MessageBufferBenchmarks_PutPeekTake,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.axonframework.extensions.kafka.eventhandling.consumer.streamable.SortedKafkaMessageBuffer
.,org.axonframework.extensions.kafka.eventhandling.benchmark,MessageBufferBenchmarks_PutPeekTake.ThreadState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,org.axonframework.extensions.kafka.eventhandling.producer,KafkaPublisherIntegrationTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
.,org.axonframework.extensions.kafka.eventhandling.producer,DefaultProducerFactory.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,org.axonframework.extensions.kafka.eventhandling.producer,KafkaPublisher.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,org.axonframework.extensions.kafka.eventhandling.producer,KafkaEventPublisher,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_PROCESSING_GROUP
.,org.axonframework.extensions.kafka.eventhandling.producer,KafkaEventPublisher.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
